store_id,avg_sales,holiday_lift_pct,recommendation
1,1555264.3975524476,7.6789620362959194,MAINTAIN CURRENT STRATEGY
2,1925751.3355244757,8.622783841341656,MAINTAIN CURRENT STRATEGY
3,402704.44104895106,9.435021334549784,MAINTAIN CURRENT STRATEGY
4,2094712.9606993007,7.657427631039258,MAINTAIN CURRENT STRATEGY
5,318011.8104895105,14.166536734218937,EXPAND HOLIDAY MARKDOWNS
6,1564728.1862937063,8.027996925308395,MAINTAIN CURRENT STRATEGY
7,570617.3086713287,19.43920424327852,EXPAND HOLIDAY MARKDOWNS
8,908749.5183916084,7.921214951307594,MAINTAIN CURRENT STRATEGY
9,543980.5523776223,8.94405324198997,MAINTAIN CURRENT STRATEGY
10,1899424.5726573425,12.236253562849125,EXPAND HOLIDAY MARKDOWNS
11,1356383.1244755245,7.331017078138655,MAINTAIN CURRENT STRATEGY
12,1009001.6094405595,13.894688045464108,EXPAND HOLIDAY MARKDOWNS
13,2003620.3062937064,5.8961233178874135,MAINTAIN CURRENT STRATEGY
14,2020978.4009790209,5.318809624792376,MAINTAIN CURRENT STRATEGY
15,623312.474965035,14.478410052961701,EXPAND HOLIDAY MARKDOWNS
16,519247.7300699301,9.900819672247545,MAINTAIN CURRENT STRATEGY
17,893581.3904195804,10.44956125466336,EXPAND HOLIDAY MARKDOWNS
18,1084718.421048951,8.44553864256652,MAINTAIN CURRENT STRATEGY
19,1444999.0356643356,9.893317654004537,MAINTAIN CURRENT STRATEGY
20,2107676.8703496503,7.247646030315227,MAINTAIN CURRENT STRATEGY
21,756069.0833566433,10.085206967357244,EXPAND HOLIDAY MARKDOWNS
22,1028501.0389510489,5.917647042585057,MAINTAIN CURRENT STRATEGY
23,1389864.4604895106,5.64449107417377,MAINTAIN CURRENT STRATEGY
24,1356755.3935664336,9.440228127645408,MAINTAIN CURRENT STRATEGY
25,706721.5326573426,5.031376590387607,MAINTAIN CURRENT STRATEGY
26,1002911.8446853146,7.450346040881782,MAINTAIN CURRENT STRATEGY
27,1775216.2019580419,7.126663892742998,MAINTAIN CURRENT STRATEGY
28,1323522.241818182,12.680617485656201,EXPAND HOLIDAY MARKDOWNS
29,539451.4287412588,13.58260236887052,EXPAND HOLIDAY MARKDOWNS
30,438579.6162237762,-0.4216134017927793,REVIEW MARKDOWN ROI
31,1395901.437062937,8.065393418709235,MAINTAIN CURRENT STRATEGY
32,1166568.154965035,3.4383185096772815,MAINTAIN CURRENT STRATEGY
33,259861.69202797202,1.1316126861515072,REVIEW MARKDOWN ROI
34,966781.5594405595,8.41203569734272,MAINTAIN CURRENT STRATEGY
35,919724.9795804196,18.307395400451135,EXPAND HOLIDAY MARKDOWNS
36,373511.9927972028,-1.6881295437877097,REVIEW MARKDOWN ROI
37,518900.2819580419,-2.3531277849602623,REVIEW MARKDOWN ROI
38,385731.6532867133,-1.175809562866978,REVIEW MARKDOWN ROI
39,1450668.1291608391,7.484691162444991,MAINTAIN CURRENT STRATEGY
40,964128.0404895104,4.913189182348666,MAINTAIN CURRENT STRATEGY
41,1268125.418811189,5.688117625489802,MAINTAIN CURRENT STRATEGY
42,556403.863146853,2.185056364322329,MAINTAIN CURRENT STRATEGY
43,633324.7231468532,0.4451968575284318,REVIEW MARKDOWN ROI
44,302748.86601398606,-2.3801930924151926,REVIEW MARKDOWN ROI
45,785981.4085314686,6.915787045490378,MAINTAIN CURRENT STRATEGY
